nome,whatsapp,endereco,cidade,latitude,longitude,categorias,url_maps,status_funil
Espaço Da Beleza Andréia Cunnha,,"Bacabal - MA, 65708-000, Brasil",Bacabal,-4.250081,-44.7882167,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Espa%C3%A7o%20Da%20Beleza%20Andr%C3%A9ia%20Cunnha&query_place_id=ChIJAdCrJqRuigcRudbReNlpn7U,prospect
Barbearia do Leleco,5599992150542,"Rua Ruir barbosa, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.1204745,-44.5764243,"{""Barbearia""}",https://www.google.com/maps/search/?api=1&query=Barbearia%20do%20Leleco&query_place_id=ChIJs2-P7d5ZigcRSK70p0mbDJ4,prospect
Dona Crespa,5599991748082,"R. Getúlio Vargas, 678, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2358057,-44.7836777,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Dona%20Crespa&query_place_id=ChIJywPVPE1vigcRe09OMegTkXM,prospect
Espaço Elinalda mega hair,5599984348824,"R. João Alberto, casa 93 - Vila Pedro Brito, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2116529,-44.7832772,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Espa%C3%A7o%20Elinalda%20mega%20hair&query_place_id=ChIJXWkjemlvigcRMvbp32dONQc,prospect
Espaço Valdene Gomez,5599984011926,"Galeria da Blitz - R. Osvaldo Cruz, Sl 04 - Centro, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2294085,-44.7885655,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Espa%C3%A7o%20Valdene%20Gomez&query_place_id=ChIJqQrqqHVvigcRCyFJVNgW3m4,prospect
Salao Do Chinês - BARBER SHOP TUNAI MARINHO,5599981416157,"R. Carlos Pereira, 643, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.229672,-44.7819837,"{""Barbearia""}",https://www.google.com/maps/search/?api=1&query=Salao%20Do%20Chin%C3%AAs%20-%20BARBER%20SHOP%20TUNAI%20MARINHO&query_place_id=ChIJgxcsDtFuigcRTVruOOFKUSc,prospect
Laís Gabrielli Makeup,5598983000089,"Vp16 quadra 37 casa 02 - Cohab II, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2274289,-44.7976927,"{""Maquiagem""}",https://www.google.com/maps/search/?api=1&query=La%C3%ADs%20Gabrielli%20Makeup&query_place_id=ChIJowE00OZuigcRx94lFo3boPI,prospect
CarlMary,5599984463003,"Rua Barão De Rio Branca, 216, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2298876,-44.7758948,"{""Maquiagem""}",https://www.google.com/maps/search/?api=1&query=CarlMary&query_place_id=ChIJuTR16u5vigcRpRMLZtk7p5I,prospect
Espaço Driica Makeup,5599996491646,"R. Taváres de Moura, 421 - Esperanca, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.241763,-44.7861639,"{""Maquiagem""}",https://www.google.com/maps/search/?api=1&query=Espa%C3%A7o%20Driica%20Makeup&query_place_id=ChIJcRzNrK1vigcRC8xSpw6RcLY,prospect
Salão Juliana Cabeleireira,5599992174837,"Bacabal - MA, 65700-000, Brasil",Bacabal,-4.1993197,-44.7832569,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Sal%C3%A3o%20Juliana%20Cabeleireira&query_place_id=ChIJMRqkySFvigcRWOsGoglzaMI,prospect
Wk_estudiodebeleza,5599984885637,"R. da Forquilha, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2245805,-44.7847947,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Wk_estudiodebeleza&query_place_id=ChIJ3RpxFBVvigcR5CsJcm4Dj6Q,prospect
Jessie cabeleireira,,"R. Djalma Dutra, 1714 - da areia, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2204621,-44.776185,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Jessie%20cabeleireira&query_place_id=ChIJ9ztpCoJvigcRQ7D6GZqSZSk,prospect
Studio Rosilene Santos,,"R. Carlos Pereira, 982A, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.230763,-44.7838119,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Studio%20Rosilene%20Santos&query_place_id=ChIJDxXHir5vigcRQ5DStg0n30o,prospect
Salão Realce,,"Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2378833,-44.7830481,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Sal%C3%A3o%20Realce&query_place_id=ChIJ8ZC-UchuigcRWc2xpYq7jCs,prospect
Salão da Nalvinha,5599982143293,"Av. Dom Banco, 520, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2081888,-44.8007741,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Sal%C3%A3o%20da%20Nalvinha&query_place_id=ChIJUZ10zwJvigcR4_LEP4FQZwA,prospect
Corpo Bronzeado estetica,5599982718536,"Av. Um, 223 - residencial bela vista, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2073012,-44.8032254,"{""Bronzeamento""}",https://www.google.com/maps/search/?api=1&query=Corpo%20Bronzeado%20estetica&query_place_id=ChIJA7OGKABvigcRGhp-_SkfUFs,prospect
Iza Santos,,"Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2083335,-44.8010728,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Iza%20Santos&query_place_id=ChIJDUJFLxNvigcR__6ciSrIcx0,prospect
Espaço de Beleza Yanne,5599984131945,"Av. B, 36, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2090524,-44.7998713,"{""Manicure - Esmalteria""}",https://www.google.com/maps/search/?api=1&query=Espa%C3%A7o%20de%20Beleza%20Yanne&query_place_id=ChIJt1PBPCdvigcR7cg3d3eG8M4,prospect
Nails_studio,5599991507172,"R. Santa Catarina, 251 - Novo Bacabal, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2084395,-44.8042674,"{""Manicure - Esmalteria""}",https://www.google.com/maps/search/?api=1&query=Nails_studio&query_place_id=ChIJD_p0kIJvigcRBSLGshZuu18,prospect
Studio Jamilly vitória,5599984240826,"R. Antonio Almeida, Bacabal - MA, 65708-000, Brasil",Bacabal,-4.2523096,-44.8034431,"{""Sobrancelhas e Cílios""}",https://www.google.com/maps/search/?api=1&query=Studio%20Jamilly%20vit%C3%B3ria&query_place_id=ChIJcXJQTQBvigcR0MWHd2GKd9M,prospect
Lm Nails Design,5599992028097,"Rua Santo André N:17A próximo ao comercial Dom Bosco Novo, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2080855,-44.800172,"{""Manicure - Esmalteria""}",https://www.google.com/maps/search/?api=1&query=Lm%20Nails%20Design&query_place_id=ChIJ02jhimVvigcRiaHhM2POsSo,prospect
Tainá Cardoso Beauty,,"Rua Dom Bôsco, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2084523,-44.8006475,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Tain%C3%A1%20Cardoso%20Beauty&query_place_id=ChIJgWiwUABvigcRHC-GDtw1KmM,prospect
Beijadas Pelo Sol,5599982001130,"Av. Marcone Caldas - Santa Marina, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2303937,-44.7967958,"{""Bronzeamento""}",https://www.google.com/maps/search/?api=1&query=Beijadas%20Pelo%20Sol&query_place_id=ChIJCcohLeZuigcRbWaQfPUafrs,prospect
Studio Milena Santos,5599981192573,"Rua do Sol, 2, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.1964103,-44.7891066,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Studio%20Milena%20Santos&query_place_id=ChIJ_6WLZABvigcRkoeOeBe_PIo,prospect
Salão Naldo Ferreira,5599981180269,"Av. Um, 13, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2248367,-44.7935584,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Sal%C3%A3o%20Naldo%20Ferreira&query_place_id=ChIJo9bIxd9uigcRv3jshMH43h4,prospect
Eudiane Bronze,5599991504283,"R. José Coutinho, 18, Bacabal - MA, 65708-000, Brasil",Bacabal,-4.2514193,-44.8033506,"{""Bronzeamento""}",https://www.google.com/maps/search/?api=1&query=Eudiane%20Bronze&query_place_id=ChIJp2VXCABvigcRhCqyv10spHo,prospect
Estúdio de beleza MA&TL,5599999049790,"R. Onze, Bacabal - MA, 65708-000, Brasil",Bacabal,-4.2515238,-44.7843944,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Est%C3%BAdio%20de%20beleza%20MA%26TL&query_place_id=ChIJ1zc6agBvigcRFkWrqP4LKu4,prospect
Clínica TS Estética,5599981930306,"Posto Qatar - BR-316 - Cohab l, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2240011,-44.7941388,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Cl%C3%ADnica%20TS%20Est%C3%A9tica&query_place_id=ChIJb5vvP_lvigcRKj02lg43RAc,prospect
Wm_tranças,5599982130373,"R. Quatorze, Casa 29 - Vila da paz, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2546233,-44.7913048,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Wm_tran%C3%A7as&query_place_id=ChIJe328MGBvigcRNltAze_sB8Y,prospect
ESPAÇO DE BELEZA ELIS,,"R. Varsia Formosa, 63, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2186537,-44.7908731,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=ESPA%C3%87O%20DE%20BELEZA%20ELIS&query_place_id=ChIJqRL-PgBvigcRW9_oElef6CM,prospect
Studio Thais Lucena,5599984845783,"R. Cloris Miranda, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.231371,-44.7822293,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Studio%20Thais%20Lucena&query_place_id=ChIJAV8ygHtvigcR0IfVHR0qXpI,prospect
Studio Lucivan Lima,5599982079291,"R. Viriato Corrêa, 824 - Bairro da areia, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2176664,-44.778323,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Studio%20Lucivan%20Lima&query_place_id=ChIJCYMOG7BvigcR11JsiXVCJXo,prospect
Stúdio de Beleza Vitória Régia,,"Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2162061,-44.7899859,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=St%C3%BAdio%20de%20Beleza%20Vit%C3%B3ria%20R%C3%A9gia&query_place_id=ChIJIWEOUSNvigcRZ9bhKN7-PRc,prospect
Studio Vanessa Valentin,5599984642034,"Rua São Pantaleão - Pedro Brito, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2141172,-44.7848158,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Studio%20Vanessa%20Valentin&query_place_id=ChIJL6BykPtvigcR8bTsVlWVRBE,prospect
Nrj Studio De Beleza,,"Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2244831,-44.7846625,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Nrj%20Studio%20De%20Beleza&query_place_id=ChIJ3YYe-tduigcRA4awYzM4wgM,prospect
Espaço de beleza Conselheiro e cida,,"Vp 15 quadra 36, Av. Cohab, 2 - casa 2, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.22755,-44.7923494,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Espa%C3%A7o%20de%20beleza%20Conselheiro%20e%20cida&query_place_id=ChIJReC0gVFvigcR-QH7ZJ5MPb8,prospect
Espaço Da Beleza Suêla Segadilha,,"R. Magalhães de Almeida, 209, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2313713,-44.7799167,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Espa%C3%A7o%20Da%20Beleza%20Su%C3%AAla%20Segadilha&query_place_id=ChIJP1LQG9JuigcRKlHY9BXf58g,prospect
Kely Gomes Beleza e Cuidado,5599991653113,"R. São Joaquim, n°12 - Areal, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2422797,-44.8086782,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Kely%20Gomes%20Beleza%20e%20Cuidado&query_place_id=ChIJp_FXas1vigcREatqYWR6bVo,prospect
Studio Mariana Assunção,5599981308604,"R. Santa Catarina, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.207763,-44.8001742,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Studio%20Mariana%20Assun%C3%A7%C3%A3o&query_place_id=ChIJ1xb3WldvigcReUGuyv9Oyr4,prospect
Maison Centro De Beleza E Estética,5599981226986,"R. VP-7, 12, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2272137,-44.793671,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Maison%20Centro%20De%20Beleza%20E%20Est%C3%A9tica&query_place_id=ChIJobpLCN5uigcRjwHIzM7fg1c,prospect
Centro de Beleza Cleidimar Almeida,5599985516161,"R. Mariano Couto, 40 - Madre Rosa, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2318088,-44.7878168,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Centro%20de%20Beleza%20Cleidimar%20Almeida&query_place_id=ChIJWUCsEoRvigcRiSY42EkAO7Q,prospect
salão e centro de estética toda bela,559936215917,"R. 10 de Novembro, 167, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2405448,-44.7826058,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=sal%C3%A3o%20e%20centro%20de%20est%C3%A9tica%20toda%20bela&query_place_id=ChIJ7cNGg7luigcRkr0d8MTSfCk,prospect
Salão De Beleza Espaço Beleza Dhara,5599982267695,"Tv. Gomes Vidal, 38, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.239663,-44.78267,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Sal%C3%A3o%20De%20Beleza%20Espa%C3%A7o%20Beleza%20Dhara&query_place_id=ChIJB-2uLLZuigcRtSQuOQeIgpE,prospect
Salão Tok de Beleza,5599981062067,"R. Getúlio Vargas, 665 - Centro, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2355711,-44.7830333,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Sal%C3%A3o%20Tok%20de%20Beleza&query_place_id=ChIJH3_7KuVvigcR__gGLDcqI3Y,prospect
Studio Janaina Barbosa,5599981301178,"R. Maranhão Sobrinho, 1557 - Centro, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2252636,-44.7875684,"{""Depilação""}",https://www.google.com/maps/search/?api=1&query=Studio%20Janaina%20Barbosa&query_place_id=ChIJ_3jaNg5vigcRVpjJLBdLS7Y,prospect
Pathy Chiquetosa,,"R. Rui Barbosa, 1246 - Centro, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2223761,-44.7826755,"{""Sobrancelhas e Cílios""}",https://www.google.com/maps/search/?api=1&query=Pathy%20Chiquetosa&query_place_id=ChIJ0_geLapvigcRDJh7TcLg7p4,prospect
‍ ️Barbearia Gomes,5599991365337,"Ao lado do Bar do seu Chico Careca - R. São Joaquim, N° 37 - Areal, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2422967,-44.8089236,"{""Barbearia""}",https://www.google.com/maps/search/?api=1&query=%E2%80%8D%20%EF%B8%8FBarbearia%20Gomes&query_place_id=ChIJr-bXoy5vigcRaxD0YMPKUdY,prospect
Márcia Cabelos,5599981860209,"R. Cloris Miranda, 466, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2307605,-44.7816556,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=M%C3%A1rcia%20Cabelos&query_place_id=ChIJoWTWvdFuigcR9xrET8LXxeU,prospect
Janny E Jhenny Cabelo E Depilação,,"Bacabal - MA, 65700-000, Brasil",Bacabal,-4.1954625,-44.7882644,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Janny%20E%20Jhenny%20Cabelo%20E%20Depila%C3%A7%C3%A3o&query_place_id=ChIJIX0q4lhvigcR-aKNsPX14s0,prospect
Jk BARBEARIA é estética ele ela,,"R. Vp 06, Av. Cohab, box 04, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2266703,-44.7937777,"{""Barbearia""}",https://www.google.com/maps/search/?api=1&query=Jk%20BARBEARIA%20%C3%A9%20est%C3%A9tica%20ele%20ela&query_place_id=ChIJNYD0uQVvigcRbXgqx4KIOL0,prospect
Brasil Barbearia,5599981354630,"Praça da Cohab - Av. 1, Av. Cohab, 1 - Box 20, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2263967,-44.7934927,"{""Barbearia""}",https://www.google.com/maps/search/?api=1&query=Brasil%20Barbearia&query_place_id=ChIJpeg-wrduigcRTZHyJn6R5L8,prospect
Cris Cosméticos Cabelo E Estética,5599981117059,"R. Maranhão Sobrinho, 1108, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2304459,-44.7837331,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Cris%20Cosm%C3%A9ticos%20Cabelo%20E%20Est%C3%A9tica&query_place_id=ChIJFdtYQtBuigcRSbQlRN3mTP0,prospect
Studio Nayara Carvalho,5599981629401,"R. Cleomenes Falcão, 860 - Esperança, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2437955,-44.781904,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Studio%20Nayara%20Carvalho&query_place_id=ChIJV2RrFv5vigcRdHgKPUtnyaE,prospect
Salão Belíssima,5599981152372,"R. do Arame, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2239178,-44.7902512,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Sal%C3%A3o%20Bel%C3%ADssima&query_place_id=ChIJbZhtuQFvigcRYlhGNCTeRVA,prospect
Studio Lya Thayne,5599981188042,"R. Cleomenes Falcão, 860, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2437955,-44.781904,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Studio%20Lya%20Thayne&query_place_id=ChIJ2_u0VBxvigcRevYXoDHtE2A,prospect
Studio A,5599981092591,"R. das Tulipas, 143 - Cidade Jardins, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2491736,-44.8021263,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Studio%20A&query_place_id=ChIJG4Gi7W9vigcRecCiSBfVByw,prospect
Divas Make-Up,5599984509224,"R. Doze, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2085872,-44.7965224,"{""Maquiagem""}",https://www.google.com/maps/search/?api=1&query=Divas%20Make-Up&query_place_id=ChIJy1g98xxvigcR8gEnpL8OXpA,prospect
Chiquetosa On- Bacabal/Ma,5599981003424,"Rua Carlos Pereira 629, piso II, sala 01, R. Carlos Pereira, 623 - Centro, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2295455,-44.7818153,"{""Maquiagem""}",https://www.google.com/maps/search/?api=1&query=Chiquetosa%20On-%20Bacabal%2FMa&query_place_id=ChIJoZEvfMpvigcREHStVN6MXTA,prospect
Studio Ada Oliveira Makeup,5599984711361,"R. Gonçalves Dias, 425, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2255516,-44.7791002,"{""Maquiagem""}",https://www.google.com/maps/search/?api=1&query=Studio%20Ada%20Oliveira%20Makeup&query_place_id=ChIJb7UoJABvigcRoeX1MeXcfC0,prospect
Lene cabelos e estéticas,5598992367896,"Pov.Brejinho - Rua Lucélio Pinto, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2939857,-45.0078592,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Lene%20cabelos%20e%20est%C3%A9ticas&query_place_id=ChIJgUpexds1y5IR8oZew7e2AMY,prospect
Salao Da Ivone,5599981848219,"R. 3 3 - Vila Jurandir, Rio de Janeiro - MA, 65708-000, Brasil",Bacabal,-4.2473384,-44.7855828,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Salao%20Da%20Ivone&query_place_id=ChIJwzOjWqVuigcRoU-Og6XhTIs,prospect
TUILZA ESTETICA,5599981138252,"R. Padre Mahana, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2290255,-44.7825765,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=TUILZA%20ESTETICA&query_place_id=ChIJI8uoztBuigcR7NB1KTzXOuY,prospect
Rosa Matos Salao De Beleza,5599981433777,"R. Dr. Paulo Ramos, 75, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2295656,-44.7774259,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Rosa%20Matos%20Salao%20De%20Beleza&query_place_id=ChIJI_SODdNuigcRWQjvSrBgnpk,prospect
Dell Gomes Hairstylist,5599982546065,"R. José Bonifácio, 161A - Esperança, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2425431,-44.7832091,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Dell%20Gomes%20Hairstylist&query_place_id=ChIJ9_9ODvFvigcR86OsZipvLpM,prospect
SALÃO LÁ - MUNDICA,,"R. Vinte, 47 - Quadra 20 - Terra do Sol 2, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2467814,-44.7885434,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=SAL%C3%83O%20L%C3%81%20-%20MUNDICA&query_place_id=ChIJK1gNETtvigcRoCAxHpjMoo0,prospect
Salão do Miguel,,"Bacabal - MA, 65708-000, Brasil",Bacabal,-4.2472049,-44.784363,"{""Barbearia""}",https://www.google.com/maps/search/?api=1&query=Sal%C3%A3o%20do%20Miguel&query_place_id=ChIJgQgQ5a9uigcR1h7pVaTaF2s,prospect
Espaço Erika Alves,5599984510764,"R. Monte Castelo, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.235838,-44.7784115,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Espa%C3%A7o%20Erika%20Alves&query_place_id=ChIJx2s2_j1vigcR7JxPKzeAeNw,prospect
Salão De Beleza Ana Maria,,"R. Djalma Dutra, 240, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2267986,-44.777932,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Sal%C3%A3o%20De%20Beleza%20Ana%20Maria&query_place_id=ChIJIzCx-NRuigcRd8hssoYKxBE,prospect
F. E Beauty Salon,5599984752400,"R. Rui Barbosa, 40 - Centro, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2312841,-44.7764971,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=F.%20E%20Beauty%20Salon&query_place_id=ChIJdfnBbjJpigcRCJQTwL0yCgI,prospect
Salao Styllus,5599981100554,"R. Osvaldo Cruz, 203, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2292816,-44.7779349,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Salao%20Styllus&query_place_id=ChIJHe_zddNuigcRFq3zXpJfFms,prospect
Elma Hair,5599981950858,"R. Luís Domingues, 376 - Alto Cururupu, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2401935,-44.7807046,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Elma%20Hair&query_place_id=ChIJXyvBDrZuigcRPo_iBAMPbhM,prospect
Salão de beleza,5599981526716,"R. Djalma Dutra, 1714, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2169055,-44.7758844,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Sal%C3%A3o%20de%20beleza&query_place_id=ChIJraVQ0clvigcR3qvklB3IGa4,prospect
Centro Técnico Cristiana Moura,5599981117059,"R. Osvaldo Cruz, 790 - Centro, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2325934,-44.7820845,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Centro%20T%C3%A9cnico%20Cristiana%20Moura&query_place_id=ChIJPwWala5vigcRcV0_DtWXtLk,prospect
